village_code,village_name,subdistrict,latitude,longitude,total_population,total_households,sc_st_population_share_pct,composite_risk_score_FROM_MODEL5,priority_category_FROM_MODEL5,urgency_score,geo_area_ha,population_density_per_ha,male_population,female_population,pct_forest,pct_barren_uncultivable,pct_net_sown,pct_fallow,pct_pastures,irrigation_coverage_pct,road_connectivity_score,healthcare_access_score,drainage_quality_score,nearest_town_dist_km,district_hq_dist_km,tapwater_treated,tubewell_borehole,river_canal_present,surface_water_exposure,elevation_m_EXTERNAL_TOFILL,distance_to_river_km_EXTERNAL_TOFILL,rainfall_24hr_max_mm_EXTERNAL_TOFILL,flood_hazard_score_TARGET,runoff_coefficient_EXTERNAL_TOFILL,flood_hazard_score_FROM_MODEL1,erosion_risk_score_FROM_MODEL2,cloudburst_exceedance_probability_FROM_MODEL3,landslide_susceptibility_score_FROM_MODEL4,relocation_urgency_index,vulnerability_ratio,hazard_x_density,distance_x_risk,water_risk
521020,Manpur,Dabhoi,22.05,73.448552,371.0,92.0,30.19,0.507,Medium (Mitigation),188.097,186.0,1.995,186.0,185.0,0.0,11.83,76.34,0.0,11.83,100.0,2,0,0,14.0,48.0,0.0,1.0,0.0,0,87.5,0.109,247.2,0.558,0.51,0.558,0.98,0.889,0.578,188.097,14.376190476190477,1.011465,7.098,0.0
521023,Akoti,Dabhoi,22.041523,73.490974,1091.0,225.0,34.1,0.545,Medium (Mitigation),594.595,501.0,2.178,552.0,539.0,5.79,8.18,80.64,0.0,5.19,100.0,3,0,0,10.0,40.0,0.0,1.0,1.0,1,97.5,1.888,247.2,0.416,0.5,0.416,0.98,0.95,0.606,594.595,11.0,1.1870100000000001,5.45,0.416
521001,Sitpur,Dabhoi,22.08057,73.471272,1813.0,415.0,47.05,0.524,Medium (Mitigation),950.012,943.0,1.923,920.0,893.0,0.0,0.0,74.44,0.0,25.56,43.02,3,1,0,8.0,43.0,0.0,1.0,1.0,1,90.0,0.805,245.6,0.497,0.51,0.497,0.98,0.901,0.587,950.0120000000001,15.177419354838708,1.007652,4.192,0.497
520989,Gamdi Kanayada,Dabhoi,22.095686,73.413239,981.0,201.0,25.69,0.604,Medium (Mitigation),592.524,433.0,2.266,505.0,476.0,0.0,9.95,84.49,0.0,0.69,72.6,2,0,0,5.0,40.0,0.0,1.0,0.0,1,92.5,0.214,246.4,0.536,0.52,0.536,0.98,0.919,0.596,592.524,12.233333333333334,1.3686639999999999,3.02,0.536
521003,Dharmapura,Dabhoi,22.085604,73.534557,338.0,79.0,18.93,0.444,Medium (Mitigation),150.072,138.0,2.449,169.0,169.0,2.17,2.9,86.96,0.0,7.97,83.33,3,0,0,17.0,49.0,0.0,1.0,0.0,0,90.0,0.708,246.4,0.506,0.52,0.506,0.98,0.899,0.582,150.072,6.106451612903226,1.087356,7.548,0.0
521012,Vadaj,Dabhoi,22.075049,73.438367,2266.0,493.0,64.34,0.477,Medium (Mitigation),1080.882,1387.0,1.634,1148.0,1118.0,0.0,10.97,87.88,0.0,1.15,98.52,2,1,2,7.0,45.0,0.0,1.0,0.0,0,97.5,1.769,246.4,0.424,0.5,0.424,0.98,0.95,0.617,1080.882,30.63809523809524,0.7794179999999999,3.339,0.0
521002,Bhilodiya,Dabhoi,22.079777,73.507412,1251.0,321.0,28.54,0.396,Low (Monitoring),495.396,624.0,2.005,631.0,620.0,0.0,13.62,86.38,0.0,0.0,92.76,3,1,0,15.0,50.0,0.0,0.0,0.0,0,92.5,1.339,245.6,0.456,0.51,0.456,0.98,0.917,0.596,495.396,9.206451612903225,0.79398,5.94,0.0
521000,Kanayada,Dabhoi,22.076657,73.405223,1421.0,266.0,31.53,0.511,Medium (Mitigation),726.131,377.0,3.769,687.0,734.0,0.0,2.92,85.41,0.0,5.57,53.42,2,0,0,5.0,40.0,0.0,1.0,0.0,0,100.0,1.893,244.0,0.424,0.56,0.424,0.98,0.95,0.629,726.131,15.014285714285714,1.9259590000000002,2.555,0.0
521010,Chanwada,Dabhoi,22.064168,73.468113,1686.0,361.0,30.66,0.524,Medium (Mitigation),883.464,470.0,3.587,888.0,798.0,0.0,0.0,76.6,0.0,21.28,83.33,3,1,0,11.0,41.0,0.0,1.0,1.0,1,92.5,1.007,245.6,0.486,0.56,0.486,0.98,0.908,0.587,883.464,9.890322580645162,1.8795880000000003,5.764,0.486
521004,Para,Dabhoi,22.072918,73.531128,211.0,53.0,54.5,0.525,Medium (Mitigation),110.775,177.0,1.192,111.0,100.0,0.56,2.26,90.96,0.0,6.21,62.11,2,0,0,16.0,48.0,0.0,1.0,0.0,0,90.0,0.009,245.6,0.549,0.48,0.549,0.98,0.898,0.585,110.775,25.952380952380953,0.6258,8.4,0.0
521006,Asgol,Dabhoi,22.064052,73.533433,352.0,84.0,17.05,0.425,Medium (Mitigation),149.6,212.0,1.66,186.0,166.0,0.0,4.69,89.2,0.0,5.16,94.74,2,1,0,17.0,49.0,0.0,1.0,0.0,0,90.0,0.834,246.4,0.494,0.5,0.494,0.98,0.878,0.563,149.6,8.119047619047619,0.7054999999999999,7.225,0.0
521007,Araniya,Dabhoi,22.058945,73.527337,417.0,98.0,34.29,0.604,Medium (Mitigation),251.868,211.0,1.976,231.0,186.0,1.42,4.72,87.74,0.0,6.13,46.24,2,0,0,15.0,47.0,0.0,1.0,0.0,1,87.5,0.537,247.2,0.528,0.51,0.528,0.98,0.882,0.571,251.868,16.32857142857143,1.193504,9.06,0.528
521013,Ten Talav,Dabhoi,22.049604,73.413979,3013.0,658.0,47.93,0.565,Medium (Mitigation),1702.3449999999998,1401.0,2.151,1562.0,1451.0,2.28,6.99,82.24,0.0,8.49,100.0,2,1,2,12.0,42.0,0.0,1.0,0.0,1,105.0,1.94,245.6,0.413,0.51,0.413,0.98,0.95,0.657,1702.3449999999998,22.823809523809523,1.2153149999999997,6.779999999999999,0.413
