village_code,village_name,subdistrict,latitude,longitude,total_population,total_households,sc_st_population_share_pct,composite_risk_score_FROM_MODEL5,priority_category_FROM_MODEL5,urgency_score
521166,Mankan,Karjan,21.932658,73.069718,1792.0,335.0,25.22,0.628,Medium (Mitigation),1125.376
521184,Sarupur Timbi,Karjan,21.929106,73.150558,768.0,158.0,45.57,0.634,Medium (Mitigation),486.91200000000003
521183,Saniyad,Karjan,21.923933,73.173165,1228.0,259.0,60.02,0.521,Medium (Mitigation),639.788
521163,Dethan,Karjan,21.977393,73.104835,2225.0,444.0,24.31,0.506,Medium (Mitigation),1125.85
521164,Valan,Karjan,21.954884,73.075371,10182.0,1854.0,15.46,0.424,Medium (Mitigation),4317.168
521169,Atali,Karjan,21.963404,73.147394,1222.0,262.0,35.52,0.567,Medium (Mitigation),692.8739999999999
521170,Bachar,Karjan,21.962801,73.17002,1253.0,252.0,28.57,0.552,Medium (Mitigation),691.6560000000001
521168,Kiya,Karjan,21.957047,73.121666,1410.0,273.0,22.91,0.564,Medium (Mitigation),795.2399999999999
521176,Urad,Karjan,21.941814,73.159467,1073.0,226.0,37.65,0.615,Medium (Mitigation),659.895
521177,Koliyad,Karjan,21.927209,73.131173,2612.0,538.0,45.83,0.577,Medium (Mitigation),1507.1239999999998
521167,Divi,Karjan,21.933756,73.116397,844.0,162.0,38.51,0.481,Medium (Mitigation),405.964
521165,Mesrad,Karjan,21.930546,73.021135,2174.0,393.0,27.92,0.557,Medium (Mitigation),1210.9180000000001
521178,Sansrod,Karjan,21.912531,73.096947,5649.0,1129.0,26.87,0.553,Medium (Mitigation),3123.8970000000004
521182,Sanapura,Karjan,21.90548,73.145016,891.0,207.0,51.96,0.619,Medium (Mitigation),551.529
521181,Saring,Karjan,21.890801,73.129828,1731.0,385.0,41.19,0.599,Medium (Mitigation),1036.869
521179,Haldarva,Karjan,21.896641,73.077939,2141.0,402.0,41.29,0.472,Medium (Mitigation),1010.5519999999999
521195,Karan,Karjan,21.89618,73.168278,703.0,151.0,39.4,0.584,Medium (Mitigation),410.55199999999996
521180,Mantroj,Karjan,21.889077,73.10036,857.0,190.0,63.83,0.597,Medium (Mitigation),511.62899999999996
521196,Pachhiyapura,Karjan,21.894566,73.156396,1144.0,254.0,29.11,0.448,Medium (Mitigation),512.5120000000001
521197,Delvada,Karjan,21.877363,73.14759,504.0,131.0,27.98,0.599,Medium (Mitigation),301.896
521199,Arjanpura,Karjan,21.867865,73.164557,368.0,75.0,15.49,0.494,Medium (Mitigation),181.792
521198,Somaj,Karjan,21.868243,73.149303,230.0,53.0,37.83,0.597,Medium (Mitigation),137.31
521192,Samri,Karjan,21.935162,73.197469,1436.0,267.0,12.4,0.552,Medium (Mitigation),792.672
521173,Methi,Karjan,21.973103,73.221783,1076.0,252.0,40.33,0.467,Medium (Mitigation),502.492
521174,Chhanchhva,Karjan,21.973599,73.197097,727.0,153.0,60.52,0.64,Medium (Mitigation),465.28000000000003
521175,Kala,Karjan,21.949247,73.1791,1323.0,253.0,15.42,0.611,Medium (Mitigation),808.353
521187,Simli,Karjan,21.952537,73.220691,1682.0,363.0,55.95,0.626,Medium (Mitigation),1052.932
521186,Kanthariya,Karjan,21.947104,73.19995,574.0,137.0,45.12,0.59,Medium (Mitigation),338.65999999999997
521188,Kothiya,Karjan,21.943,73.238991,1072.0,249.0,27.61,0.604,Medium (Mitigation),647.4879999999999
521190,Deroli,Karjan,21.935378,73.221769,581.0,139.0,28.4,0.547,Medium (Mitigation),317.807
521193,Samra,Karjan,21.918272,73.193568,936.0,191.0,24.89,0.553,Medium (Mitigation),517.6080000000001
521191,Fatepur,Karjan,21.918199,73.21762,668.0,146.0,55.39,0.628,Medium (Mitigation),419.504
521194,Sherpura,Karjan,21.905708,73.187584,238.0,50.0,66.39,0.489,Medium (Mitigation),116.38199999999999
521203,Kahona,Karjan,21.90302,73.210746,582.0,140.0,64.95,0.669,High (Relocation Priority),389.358
521140,Kambola,Karjan,22.040465,73.053253,1244.0,311.0,53.54,0.501,Medium (Mitigation),623.244
521202,Ropa,Karjan,21.890067,73.20414,729.0,156.0,60.22,0.645,Medium (Mitigation),470.20500000000004
521204,Hirjipura,Karjan,21.896063,73.215054,212.0,55.0,58.49,0.626,Medium (Mitigation),132.712
521201,Rarod,Karjan,21.873413,73.196423,1335.0,313.0,53.26,0.435,Medium (Mitigation),580.725
521200,Oz,Karjan,21.87564,73.180678,1616.0,341.0,46.35,0.49,Medium (Mitigation),791.84
521205,Bakapur,Karjan,21.890455,73.218039,114.0,24.0,79.82,0.69,High (Relocation Priority),78.66
521208,Malod,Karjan,21.875783,73.219811,587.0,115.0,13.63,0.639,Medium (Mitigation),375.093
521207,Sayar,Karjan,21.857272,73.234331,2364.0,491.0,16.07,0.595,Medium (Mitigation),1406.58
521209,Sagdol,Karjan,21.861315,73.214469,1022.0,231.0,55.77,0.501,Medium (Mitigation),512.022
521210,Pura,Karjan,21.84658,73.185721,1149.0,239.0,48.74,0.616,Medium (Mitigation),707.784
521213,Nani Koral,Karjan,21.836794,73.222085,723.0,157.0,47.72,0.661,High (Relocation Priority),477.903
521211,Moti Koral,Karjan,21.835705,73.206877,2809.0,602.0,7.19,0.557,Medium (Mitigation),1564.613
521235,Mota Karala,Sinor,21.985864,73.394809,1932.0,460.0,72.15,0.474,Medium (Mitigation),915.7679999999999
521236,Simli,Sinor,21.984892,73.361907,1695.0,377.0,61.06,0.441,Medium (Mitigation),747.495
521229,Utraj,Sinor,21.982802,73.275034,1851.0,431.0,33.55,0.526,Medium (Mitigation),973.6260000000001
521238,Tersa,Sinor,21.979599,73.329423,761.0,166.0,53.35,0.524,Medium (Mitigation),398.764
521239,Manjrol,Sinor,21.958358,73.313963,1903.0,415.0,29.16,0.611,Medium (Mitigation),1162.733
521237,Kukas,Sinor,21.968984,73.339508,1885.0,423.0,31.25,0.469,Medium (Mitigation),884.0649999999999
521228,Bavaliya,Sinor,21.972337,73.245191,851.0,184.0,55.46,0.599,Medium (Mitigation),509.74899999999997
521244,Mota Fofaliya,Sinor,21.962219,73.372037,2235.0,549.0,50.78,0.419,Medium (Mitigation),936.4649999999999
521241,Diver,Sinor,21.948215,73.272071,1252.0,298.0,48.8,0.464,Medium (Mitigation),580.928
521240,Mindhol,Sinor,21.952392,73.295069,1517.0,317.0,21.29,0.45,Medium (Mitigation),682.65
521249,Kanjetha,Sinor,21.945834,73.354149,786.0,193.0,47.07,0.402,Medium (Mitigation),315.97200000000004
521253,Zanzad,Sinor,21.934401,73.397659,1418.0,362.0,43.58,0.453,Medium (Mitigation),642.354
521248,Ambali,Sinor,21.941445,73.383561,765.0,191.0,59.22,0.52,Medium (Mitigation),397.8
521243,Damapura,Sinor,21.938019,73.340071,692.0,159.0,42.34,0.447,Medium (Mitigation),309.324
521242,Surasamal,Sinor,21.935182,73.299184,1982.0,407.0,32.19,0.446,Medium (Mitigation),883.972
521250,Sinor,Sinor,21.913786,73.32889,8041.0,1806.0,24.35,0.535,Medium (Mitigation),4301.935
521251,Mandva,Sinor,21.916101,73.302506,1756.0,351.0,23.29,0.457,Medium (Mitigation),802.4920000000001
521252,Malsar,Sinor,21.900312,73.310124,2284.0,564.0,46.23,0.583,Medium (Mitigation),1331.572
521139,Bodaka,Karjan,22.051885,73.042031,1292.0,291.0,31.81,0.602,Medium (Mitigation),777.784
521148,Juni Jitharadi,Karjan,22.036119,73.142535,1417.0,328.0,45.31,0.54,Medium (Mitigation),765.1800000000001
521149,Miyagam,Karjan,22.024358,73.081515,5416.0,1106.0,9.47,0.489,Medium (Mitigation),2648.424
521147,Navi Jithardi,Karjan,22.033466,73.159902,502.0,105.0,44.22,0.46,Medium (Mitigation),230.92000000000002
521138,Sanpa,Karjan,22.034048,73.012524,2120.0,449.0,40.05,0.487,Medium (Mitigation),1032.44
521154,Bharthana,Karjan,22.010464,73.135645,1761.0,364.0,39.52,0.47,Medium (Mitigation),827.67
521037,Karnali,Dabhoi,21.984619,73.497232,2084.0,470.0,47.36,0.56,Medium (Mitigation),1167.0400000000002
521035,Bhimpura,Dabhoi,21.987198,73.436545,232.0,63.0,84.05,0.66,High (Relocation Priority),153.12
521036,Nanderiya,Dabhoi,21.977089,73.428682,554.0,132.0,32.49,0.591,Medium (Mitigation),327.414
521245,Bithali,Sinor,21.968351,73.408341,1045.0,256.0,53.3,0.454,Medium (Mitigation),474.43
521246,Dariapura,Sinor,21.961805,73.426855,315.0,80.0,62.54,0.526,Medium (Mitigation),165.69
521247,Moletha,Sinor,21.942678,73.417418,1402.0,324.0,57.7,0.598,Medium (Mitigation),838.396
521254,Barkal,Sinor,21.926138,73.414838,1896.0,466.0,54.27,0.69,High (Relocation Priority),1308.24
521150,Mangrol,Karjan,22.010746,73.042253,1485.0,316.0,45.05,0.469,Medium (Mitigation),696.4649999999999
521153,Vadava,Karjan,22.016245,73.117332,63.0,19.0,68.25,0.626,Medium (Mitigation),39.438
521155,Bharthali,Karjan,22.012236,73.158012,697.0,158.0,58.97,0.641,Medium (Mitigation),446.777
521161,Sandarna,Karjan,22.009674,73.171879,621.0,138.0,52.5,0.639,Medium (Mitigation),396.819
521053,Majatan,Padra,22.200015,72.946778,3288.0,629.0,1.61,0.621,Medium (Mitigation),2041.848
521068,Sandha,Padra,22.195533,72.9519,2600.0,531.0,0.96,0.633,Medium (Mitigation),1645.8
521051,Dudhwada,Padra,22.188995,72.88756,1854.0,460.0,17.96,0.537,Medium (Mitigation),995.5980000000001
521069,Chitral,Padra,22.181074,72.94459,1728.0,351.0,4.34,0.515,Medium (Mitigation),889.9200000000001
521073,Gavasad,Padra,22.157491,72.945741,3613.0,780.0,9.38,0.522,Medium (Mitigation),1885.986
521070,Brahmanvasi,Padra,22.156645,72.87854,2175.0,430.0,5.24,0.586,Medium (Mitigation),1274.55
521072,Gametha,Padra,22.158279,72.921893,3759.0,762.0,2.08,0.623,Medium (Mitigation),2341.857
521071,Masar,Padra,22.138,72.902181,3552.0,764.0,11.97,0.494,Medium (Mitigation),1754.6879999999999
521089,Kural,Padra,22.135169,72.92693,2659.0,569.0,11.36,0.544,Medium (Mitigation),1446.496
521092,Pindapa,Padra,22.118469,72.939888,1572.0,302.0,3.31,0.561,Medium (Mitigation),881.892
521091,Abhor,Padra,22.113757,72.911893,2304.0,472.0,8.2,0.504,Medium (Mitigation),1161.216
521038,Mahmadpura,Padra,22.291407,72.940406,1481.0,323.0,1.35,0.55,Medium (Mitigation),814.5500000000001
